model,experiment,warming_level,year,actual_warming,accumulated_warming,warming_rate
CanESM5,ssp126,0.0,1860,-0.042263074229668164,,
CanESM5,ssp126,0.0,1861,-0.04819624883283983,,
CanESM5,ssp126,0.0,1862,-0.04276299486458529,,
CanESM5,ssp126,0.0,1863,-0.03796501867410706,,
CanESM5,ssp126,0.0,1864,-0.04279295518204576,,
CanESM5,ssp126,0.0,1865,-0.036272320261410924,,
CanESM5,ssp126,0.0,1866,-0.024324542483633478,,
CanESM5,ssp126,0.0,1867,-0.01687168534077511,,
CanESM5,ssp126,0.0,1868,-0.006954344070934548,,
CanESM5,ssp126,0.0,1869,0.0016467670401777382,,
CanESM5,ssp126,0.0,1870,0.006792957516368114,-0.24854844304402565,
CanESM5,ssp126,0.0,1871,0.013082005135415676,-0.23546643790860997,0.0022134807256239107
CanESM5,ssp126,0.0,1872,0.01588002100843206,-0.2195864169001779,0.0026369973544973454
CanESM5,ssp126,0.0,1873,0.03226867180208479,-0.1873177450980931,0.0023637377173090675
CanESM5,ssp126,0.0,1874,0.02490486227827389,-0.1624128828198192,0.0022277891156460366
CanESM5,ssp126,0.0,1875,0.021578473389384033,-0.1408344094304351,0.0030195880574451946
CanESM5,ssp126,0.0,1876,0.019298155929066394,-0.1215362535013687,0.0028507256235828357
CanESM5,ssp126,0.0,1877,0.013289465452877331,-0.10824678804849136,0.0023434259259259575
CanESM5,ssp126,0.0,1878,0.009584306722718424,-0.09866248132577293,0.001937195767195672
CanESM5,ssp126,0.0,1879,0.013034743230656702,-0.08562773809511623,0.0014576946334088508
CanESM5,ssp126,0.0,1880,0.014337282913196586,-0.07129045518191968,0.0011987603930458922
CanESM5,ssp126,0.0,1881,0.004220021008433962,-0.06707043417348571,0.0009191780045349721
CanESM5,ssp126,0.0,1882,0.00718069561160443,-0.059889738561881276,0.0006026001511713987
CanESM5,ssp126,0.0,1883,0.006875497198905123,-0.05301424136297615,0.00032648526077071524
CanESM5,ssp126,0.0,1884,0.00881855275445971,-0.04419568860851645,-0.0010261640211644153
CanESM5,ssp126,0.0,1885,0.020618394024303315,-0.023577294584213135,-0.0004918178382466083
CanESM5,ssp126,0.0,1886,0.023592917833828626,1.5623249615491298e-05,-9.767762660629393e-05
CanESM5,ssp126,0.0,1887,0.02488740196081164,0.02490302521042713,0.0005518424036280935
CanESM5,ssp126,0.0,1888,0.023809425770334007,0.04871245098076114,0.0011542422524564518
CanESM5,ssp126,0.0,1889,0.02365724323065132,0.07236969421141246,0.0013537509448223043
CanESM5,ssp126,0.0,1890,0.02682073529414148,0.09919042950555394,0.0013943839758122332
CanESM5,ssp126,0.0,1891,0.02609569561160253,0.12528612511715648,0.001702069160997448
CanESM5,ssp126,0.0,1892,0.02573660831001505,0.1510227334271715,0.00285430461073298
CanESM5,ssp126,0.0,1893,0.022736211484617082,0.17375894491178862,0.0023825151171581794
CanESM5,ssp126,0.0,1894,0.010719227357632073,0.18447817226942068,0.0020694274376420047
CanESM5,ssp126,0.0,1895,0.014576687675095118,0.1990548599445158,0.0017779062736208609
CanESM5,ssp126,0.0,1896,0.019527243230651862,0.21858210317516766,0.0009136942554802345
CanESM5,ssp126,0.0,1897,0.03088684640525636,0.24946894958042398,0.0008533465608465754
